Year,City,Sport,Athlete,Country,Gender,Event,Medal
1984,Sarajevo,Skating,"KITAZAWA, Yoshihiro",JPN,Men,500M,Silver
1988,Calgary,Skating,"KUROIWA, Akira",JPN,Men,500M,Bronze
1992,Albertville,Skating,"LI, Yan",CHN,Women,500M,Silver
1992,Albertville,Skating,"YE, Qiaobo",CHN,Women,1000M,Silver
1992,Albertville,Skating,"YE, Qiaobo",CHN,Women,500M,Silver
1992,Albertville,Skating,"ITO, Midori",JPN,Women,Individual,Silver
1992,Albertville,Skating,"AKASAKA, Yuichi",JPN,Men,5000M Relay,Bronze
1992,Albertville,Skating,"ISHIHARA, Tatsuyoshi",JPN,Men,5000M Relay,Bronze
1992,Albertville,Skating,"KAWAI, Toshinobu",JPN,Men,5000M Relay,Bronze
1992,Albertville,Skating,"KAWASAKI, Tsutomu",JPN,Men,5000M Relay,Bronze
1992,Albertville,Skating,"MIYABE, Yukinori",JPN,Men,1000M,Bronze
1992,Albertville,Skating,"HASHIMOTO, Seiko",JPN,Women,1500M,Bronze
1992,Albertville,Skating,"INOUE, Junichi",JPN,Men,500M,Bronze
1992,Albertville,Skating,"KUROIWA, Toshiyuki",JPN,Men,500M,Silver
1992,Albertville,Skating,"LEE, Jun-Ho",KOR,Men,1000M,Bronze
1992,Albertville,Skating,"KIM, Ki-Hoon",KOR,Men,1000M,Gold
1992,Albertville,Skating,"KIM, Ki-Hoon",KOR,Men,5000M Relay,Gold
1992,Albertville,Skating,"LEE, Jun-Ho",KOR,Men,5000M Relay,Gold
1992,Albertville,Skating,"MO, Ji-Soo",KOR,Men,5000M Relay,Gold
1992,Albertville,Skating,"SONG, Jae-Kun",KOR,Men,5000M Relay,Gold
1992,Albertville,Skating,"KIM, Yoon-Man",KOR,Men,1000M,Silver
1994,Lillehammer,Skating,"CHEN, Lu",CHN,Women,Individual,Bronze
1994,Lillehammer,Skating,"ZHANG, Yanmei",CHN,Women,500M,Silver
1994,Lillehammer,Skating,"YE, Qiaobo",CHN,Women,1000M,Bronze
1994,Lillehammer,Skating,"YAMAMOTO, Hiromi",JPN,Women,5000M,Bronze
1994,Lillehammer,Skating,"HORII, Manabu",JPN,Men,500M,Bronze
1994,Lillehammer,Skating,"KIM, Ki-Hoon",KOR,Men,1000M,Gold
1994,Lillehammer,Skating,"CHAE, Ji-Hoon",KOR,Men,1000M,Silver
1994,Lillehammer,Skating,"KIM, So-Hee",KOR,Women,1000M,Bronze
1994,Lillehammer,Skating,"CHUN, Lee-Kyung",KOR,Women,1000M,Gold
1994,Lillehammer,Skating,"CHUN, Lee-Kyung",KOR,Women,3000M Relay,Gold
1994,Lillehammer,Skating,"KIM, Ryang-Hee",KOR,Women,3000M Relay,Gold
1994,Lillehammer,Skating,"KIM, So-Hee",KOR,Women,3000M Relay,Gold
1994,Lillehammer,Skating,"KIM, Yoon-Mi",KOR,Women,3000M Relay,Gold
1994,Lillehammer,Skating,"WON, Hye-Kyung",KOR,Women,3000M Relay,Gold
1994,Lillehammer,Skating,"CHAE, Ji-Hoon",KOR,Men,500M,Gold
1998,Nagano,Skating,"CHEN, Lu",CHN,Women,Individual,Bronze
